xgb,catboost,lgbm
36795174912,38165024199,22792977487
53146894336,53019405050,36724068617
34750812160,30752709038,21656371751
34662035456,30337837861,21687987621
53217529856,59320261299,36015054850
34508087296,29276119191,21695243142
34414886912,30146095854,21652902740
42951680000,45588840046,24487641584
34179837952,29846193593,21630866330
53478223872,72096438481,35708177449
34829012992,33301696595,21656371751
1.01412E+11,61249876313,56832854354
47742021632,36429540907,32503004500
36392292352,36068470724,23232953557
36723589120,37922481491,22819195512
37779906560,30283987876,22143316972
34339506176,30317955124,21695243142
35639738368,31358309684,21738253345
37918437376,35161598264,22985001457
37214326784,30677999011,23266531036
57215148032,1.11069E+11,44221111365
36789301248,39904733415,22984175786
36554776576,36123351524,23288223968
49337102336,52116724432,30176310912
48834101248,76107607616,32589152711
94936162304,71696375632,61310034824
37475749888,35957232728,22919908894
2.72462E+11,5.32419E+11,3.01099E+11
53224812544,37839472068,37324369481
36300419072,31307224427,22512334729
53588123648,62554363670,33657980030
35129147392,30356827374,22263641529
54824919040,1.29543E+11,42825932439
34738143232,29511014870,21656371751
35635453952,30605096893,22250178504
35617394688,31095440922,21738253345
33900562432,29932056755,21630866330
43383947264,57310776756,25835864098
2.37258E+11,1.34319E+11,1.87114E+11
36619706368,34566992801,22726265852
41020600320,44537855662,25045418805
35405574144,30102303628,21898122482
37201911808,30522866872,21911588772
37096402944,29157044846,22726265852
44890664960,45384823798,29366794023
35016691712,29721330604,22221722862
35338911744,30145111800,21730501350
37584347136,35286414884,24012008462
57297850368,1.02582E+11,40625529300
47872704512,32423880286,29347281030
34634715136,29827052187,21695243142
34233931776,29266594535,21695243142
35477639168,32334043595,22004795734
37606993920,65578454423,23825593324
33891842048,29947427340,21630866330
34478661632,33457047595,21828842043
36063686656,32118283678,22945089468
81096548352,64729563424,55390611500
38418489344,35859511855,23571995897
34675376128,29914106232,21934736105
35269230592,31652244590,21934736105
35326382080,33345288824,21939668740
34024765440,29725745610,21642939459
39906009088,37919477413,25640598305
35853107200,32130269179,22195105471
34685222912,29758247133,21934736105
34950598656,30076049383,21695243142
34523430912,29571965360,21642939459
35326468096,30782861713,22035236334
35042062336,30266125171,21934736105
35631034368,34942380956,22143316972
34854363136,30449006805,21656371751
38272655360,32036686175,22143316972
65174249472,1.01442E+11,38935377682
36686499840,31860719185,22739728877
48181063680,57276324280,29686067036
39155302400,67236470374,24420143630
35545587712,30302839473,21738253345
36832432128,30836414837,22985001457
97288478720,67654389407,68322986997
35768029184,29404810623,22577867012
93430333440,91707917847,64536698691
51542949888,11477252138,34646304361
34747080704,28789059526,22101644852
37978443776,37496134887,23571995897
35339087872,30872848366,21726408340
35372503040,30867428821,21854796375
58444173312,55757117760,38874928525
34580353024,30759992377,21664975869
35438604288,30213967235,21888403693
34273058816,29991893593,21652902740
1.4718E+11,2.62705E+11,99006257823
44433965056,29482687741,27479162129
34606886912,32404103132,21687987621
35675410432,31589514614,22035236334
34541596672,29806898836,21652902740
43789676544,62721237669,28068697132
35740975104,44580368958,22507559794
37480112128,32872540382,23266531036
45444091904,45715810671,27536064587
34602737664,30279649724,21695243142
39239729152,70088532677,23715641724
62706827264,11871136606,36087757321
63892656128,1.41389E+11,42637341175
38168555520,30429729764,23441576119
42483322880,37876905942,24405094829
37427343360,38739457300,23132990776
2.34778E+11,72989334853,2.27696E+11
36334510080,29317544960,23597857232
61744242688,55196666905,36155417149
36897939456,43454264093,22819195512
45109092352,38484743491,28111595318
55390416896,87225249404,37194934086
47730831360,32676879804,31025948079
35332820992,29598056415,21911588772
46577119232,48366967557,32026665289
62555611136,58377084810,42074859707
34717548544,30320300616,21656371751
36073508864,39051178546,23425668935
86757376000,73350029678,55197535625
52606119936,44898448592,32367952744
45294170112,51004489332,27641908205
76031516672,1.03346E+11,45392123220
34483093504,29833345897,21630866330
34854957056,29992190432,21934736105
55123775488,86491722886,33748547966
33799368704,31090320138,21630866330
35872059392,30706092413,22739728877
36220366848,33276677436,22968161669
35146211328,34848622568,21953807293
4.01714E+11,4.31033E+11,2.19405E+11
52471697408,42454239680,33134553287
59056586752,1.32146E+11,44046570875
39122587648,30463436203,22726265852
34970775552,29790082351,22080957111
33803900928,29270263639,21630866330
35436105728,71971702160,22507559794
38231535616,34701894815,23891502741
40265089024,1.03897E+11,24527418915
34486329344,30311634649,21726408340
40038563840,30091883449,24906426585
36735049728,38193534179,22984175786
35843796992,31692810688,22035236334
34845077504,29980755747,21695243142
35695013888,31089230471,22263641529
35778297856,32128146173,22035236334
35079876608,31479361468,21656371751
34745171968,30311433691,21934736105
34997604352,29897566887,21695243142
1.45331E+11,2.19309E+11,93327687543
34413518848,30755513503,21726408340
33809899520,30926861519,21630866330
33879652352,29839411865,21630866330
35032051712,29556922513,21652902740
34778480640,29867682797,21656371751
36360937472,31489852937,22101644852
41144483840,32521937407,25117045403
33711284224,29988441931,21630866330
35567374336,30195675074,22164664871
83226091520,1.09383E+11,44828815378
33799231488,31818073055,21630866330
33966045184,30440252008,21630866330
54256439296,71746852278,32546143020
36614402048,32686100274,22963872861
43662966784,45636197477,28068697132
33628489728,29239896096,21630866330
50978213888,42522569819,31339291302
83226091520,87698269731,40572981516
85653102592,69584881162,58682030614
34026172416,29881404327,21630866330
37188198400,31426272499,22726265852
34591121408,30042463383,21726408340
36755779584,37281740397,23232953557
40759660544,42223646184,24817170609
54359846912,68941700858,34570512431
34929967104,30089422835,22101644852
35461931008,30456851307,21738253345
34380926976,29843372820,21695243142
35061673984,29770538983,21738253345
34949505024,30489860393,21656371751
43074949120,37724128297,27047208402
34926956544,29956153841,21695243142
34854776832,30694242559,21720698641
33888229376,29595504268,21630866330
45792866304,40811655947,28140627956
1.71825E+11,1.0874E+11,1.36301E+11
35490410496,29956750095,21911588772
40298528768,37144311893,23662366336
50016362496,36301888282,32407310404
35647991808,31300377038,21898122482
33925015552,31340441418,21630866330
36155965440,33496498830,22035236334
36107808768,32622822753,22616618900
36626939904,28743734320,22726265852
1.51087E+11,95984419937,1.00914E+11
34668359680,30255676542,21727954162
37623660544,76358482410,23839447994
48672571392,57531821268,28248152052
55444254720,1.1008E+11,48086215278
37429039104,36036625246,23477357914
34811658240,30711094601,21695243142
34274732032,29645966592,21630866330
38337875968,19742818678,24122077563
67155058688,2.49286E+11,41278627590
2.12343E+11,1.34475E+11,1.3404E+11
35427143680,-18557617217,23132990776
47563337728,43507817364,28241116412
34977800192,30502892289,21656371751
34529050624,30957088138,21726408340
34369732608,29770724039,21687987621
42945204224,47533157356,27857292836
34877591552,30257151259,21656371751
35981844480,32411721256,22739728877
50865987584,33605371240,30954459764
50937458688,41715852905,33277704691
34548948992,29536428963,21652902740
33674651648,29815079517,21630866330
34366230528,29609430487,21687987621
71974330368,99904778958,35892341123
36329750528,31209506074,22813967067
34300325888,29447920098,21687987621
35633987584,30689957990,22004795734
35524296704,30760116155,21948003338
34941288448,31337372219,21816240888
33827352576,29568956065,21630866330
52178907136,73075505134,32767099804
1.13666E+11,1.23784E+11,1.1923E+11
4.28546E+11,3.53058E+11,2.24868E+11
35975688192,29591313884,22177266026
62580285440,63913433206,41074634393
33964013568,29364445713,21630866330
34998550528,31052841522,22250178504
55899299840,72189661016,39128078267
33699061760,30094505529,21630866330
51195158528,47708542863,33759989868
34954883072,30781459114,21816240888
1.61468E+11,1.59252E+11,83365584513
33781929984,29910113631,21630866330
35171094528,30583665877,21700060750
35796901888,15966997636,22507559794
34022438912,29894323316,21630866330
37016154112,31986325263,23477357914
66463457280,75454971240,41145204536
46736220160,40220721506,28810707693
45072175104,73975511189,28438832105
47795486720,53779617519,29097585013
35772264448,36649288631,22433492578
4.08759E+11,4.31947E+11,2.50991E+11
48317984768,28309654365,30520371426
34776477696,31582745807,21726408340
37427466240,46761557857,23425668935
40844550144,42355505866,25173451782
33665171456,29563485973,21630866330
1.25555E+12,1.3458E+12,8.93939E+11
1.24695E+11,65834887790,74204397167
38328434688,25824373792,23717865247
36551639040,34576283290,22963872861
34867179520,30728271661,21934736105
44051931136,48186324921,28671506082
58527694848,46369149617,37273365387
33934342144,29491456620,21630866330
35219263488,30396817442,21738253345
33575604224,30298747177,21630866330
34737811456,31109088344,21687987621
42460807168,44567523206,28297790958
41410035712,50514798272,26315749469
2.21233E+11,48251667038,1.43861E+11
34499346432,29551913388,21656371751
46218555392,42518262981,30068576322
38445879296,23849812676,24222282465
34102747136,30528988976,21630866330
36937121792,35775138190,23492268969
35599200256,28541804680,22263641529
35870584832,45667023249,22507559794
33665171456,29567305584,21630866330
45750620160,38928636861,28485069468
35815817216,31299122629,22507559794
35607162880,31708927941,22164664871
34267011072,30111209074,21630866330
38249472000,34109811057,22819195512
38144667648,-58851945486,23132990776
37061033984,40011716538,23420491843
34801786880,31196181652,21828842043
33927157760,29605721538,21630866330
34941366272,28595215611,22250178504
46202982400,42738795963,28435046629
42318311424,48524640881,27462317662
1.55691E+11,1.17209E+11,1.1191E+11
1.1205E+11,75380941574,72086924545
66183692288,1.77394E+11,47924569447
35488403456,29569506937,21978443938
34192801792,30758807052,21642939459
53472505856,40986665106,29668499515
1.22583E+11,1.89224E+11,66620903831
44108550144,42027985804,28530043287
42260312064,25707847222,25972347125
35038330880,31679172972,22080957111
75624914944,1.08127E+11,50565910711
35611041792,28486723366,21934736105
36497833984,33823480545,22918349849
37392846848,32508857687,22882512968
35242725376,31888676117,21656371751
35071344640,33198496788,22428717643
45490999296,74403185505,31917611856
59304108032,39942004208,35145500123
37562966016,31294824007,23462653285
34956996608,28444409178,21656371751
34033524736,30425346898,21630866330
45733650432,80432907914,29520526810
34397155328,29735071222,21695243142
35436466176,30566397218,21860879644
1.81918E+11,2.29802E+11,1.08707E+11
37239046144,33538524686,23146206543
34898550784,30531472721,22221722862
60471939072,81185657220,37641325607
37183889408,64887315602,23597857232
35747446784,33911585106,22120716041
38267400192,38777765510,23476891179
34502082560,30446797769,21695243142
44444258304,55355163222,27288438029
1.58667E+11,2.45347E+11,1.05835E+11
50119512064,44902186970,32920367273
39229751296,35594970443,24570207300
2.46951E+11,1.24834E+11,2.39271E+11
45289627648,45244245167,28506576768
38620758016,39281135410,23476891179
53471031296,48774984618,33302933006
33859756032,30321234955,21630866330
34598060032,31074114755,21642939459
35534331904,30216309857,22164664871
2.06054E+12,2.74366E+12,1.30103E+12
33786462208,30318355808,21630866330
37123940352,31101825793,23597857232
35408785408,30876897668,22004795734
34583298048,32889965594,21630866330
34999369728,26965436521,21656371751
37726371840,35796170031,23530053274
36238036992,34773626963,22945089468
47250276352,43495736982,30427385462
51206049792,9909656794,33810563335
36565749760,78642230113,23132990776
36177215488,29810971205,22577867012
35991257088,30665916525,21911588772
34979078144,30528505432,21656371751
71950819328,1.1659E+11,53941080455
34309763072,30342998224,21642939459
51221258240,55045122698,31939561558
35801411584,29618210986,22739728877
35918397440,45628920827,22004795734
2.25783E+11,1.30243E+11,1.58007E+11
35882749952,49077351348,22507559794
1.50919E+11,1.46225E+11,94463449686
35130953728,36198769631,22120716041
34876674048,30152691509,21730501350
38941528064,36221404396,24782103350
34184251392,29422573215,21630866330
64717733888,80961474251,40707914647
38637842432,36435534348,23597857232
44428087296,60486825175,30427397149
35082776576,29643829643,22250178504
81302069248,97862758545,55943868977
93990420480,62146856700,57994304968
44612231168,38614367494,28355548375
34656374784,30828434540,21695243142
34719268864,30352515708,21642939459
38735896576,34797003289,23715641724
83426320384,3.4265E+11,43007772779
35084337152,31847176130,21652902740
49557131264,54322231246,32326310280
34918973440,29059826092,21828842043
34633306112,30221029582,21726408340
45541306368,44723640789,27389613958
47885025280,74443252261,28338107744
51219791872,75130672347,33061801095
35665805312,31956390003,22101644852
34925604864,30037622142,21934736105
1.71796E+11,3.5175E+11,96027864587
37900832768,31400357183,23715641724
47735246848,44134882225,30357543204
35986833408,32996500248,22726265852
34314657792,30057978745,21652902740
34623221760,30538283626,21656371751
36893634560,28459131684,22726265852
34342072320,30254270406,21630866330
69253169152,78603786017,45563217356
35372691456,29304740560,21630866330
33688227840,29368384833,21630866330
36244078592,30216204915,22869892927
37291823104,31309638910,22726265852
54535475200,99121811997,36451409342
36353744896,27425630464,22101644852
68941045760,44790858479,36067322661
33890766848,29534718444,21630866330
2.15794E+12,2.43621E+12,1.63686E+12
57297850368,41409597465,38516439060
37090443264,55132661714,23132990776
35863470080,30366618655,22739728877
40541700096,36069936642,25052557225
34529050624,29692173054,21726408340
39161663488,30652213889,22726265852
55044698112,44722927789,35992216725
36052385792,31017034056,22035236334
35519033344,30597399651,22004795734
34456342528,30013794486,21656371751
36458049536,35307751233,22918349849
33900593152,28948510828,21630866330
35917504512,29297754433,21630866330
34666549248,29304048312,22101644852
36435943424,29761189343,22726265852
35020873728,29872140163,21652902740
3.03041E+11,1.8639E+11,2.39531E+11
34016223232,29873723525,21630866330
72791654400,68492970208,48065537632
35962806272,30929433715,22043216454
3.85683E+11,7.98665E+11,2.54151E+11
34625056768,30462759523,21695243142
34941734912,28893313838,22428717643
33923864576,29549200933,21630866330
38524653568,42218917669,23826104614
61172748288,50983973905,41499826300
37640548352,90931499914,23425668935
35017142272,30976684818,21934736105
35050934272,30895968797,22428717643
35695865856,36957056490,22250178504
47631286272,39411044750,28808140856
37877751808,46471291672,23715641724
35213922304,30841047215,21656371751
88987541504,1.70488E+11,65795244284
36809261056,31314802281,23090308413
34957938688,30693263717,21816240888
35701280768,31878766251,22177266026
47358132224,32819217327,30099326113
38082908160,36268198479,25722144343
45857853440,57007587503,28111595318
34426380288,30224156707,21726408340
46413643776,26057293763,29543290431
43487453184,51912693944,29814988874
51389833216,45048954132,35992892254
35571744768,34506316766,22085732046
34488913920,29985416939,21656371751
36647952384,31586874645,22716016929
38496919552,33969012028,23959363703
34525749248,29783526264,21656371751
57796366336,1.23592E+11,36927203551
34102112256,30407789544,21642939459
37153161216,43710936220,23420491843
35644284928,31750235706,22507559794
2.94331E+11,2.53766E+11,1.31751E+11
43986210816,39957119791,28954998614
34492911616,28676245824,21828842043
42464931840,34426059288,25161782135
36958298112,31625309320,22726265852
38107303936,33807159930,22631145738
1.41331E+11,1.02572E+11,93251802439
35459444736,30384657506,21854796375
38316269568,56466176730,23718975103
36777308160,30955778848,22716016929
33927380992,29742099260,21630866330
57092644864,48667727708,38906397140
41469644800,57221550247,24619486799
95497412608,75020888645,59267866813
35043786752,32732577998,21656371751
34713063424,30325994707,21726408340
52208386048,83111308898,33252949872
33872203776,29550433496,21630866330
35245588480,31438493667,21934736105
35601747968,34967702152,22004795734
67941289984,72072096449,47448013686
1.4201E+11,78682376287,97143063572
35862106112,30100386235,22035236334
34578722816,30075923524,21695243142
45314732032,50079058997,27790955635
35925987328,31620817406,22838804255
43551559680,44497428737,29524217961
53188374528,52852112881,35894837179
46844796928,38018580765,29040198813
38337875968,38520681696,24122077563
34300325888,29140630926,21687987621
56445222912,51889910114,44700470070
33781929984,29942692731,21630866330
34743996416,30611032695,21664975869
36689678336,33999356862,23201016568
34550620160,30311570967,21687987621
34957729792,30247832794,22221722862
34533584896,30823810036,21726408340
38018785280,32796195588,23571995897
91539193856,59135381566,60888358097
34534354944,30422787118,21652902740
47408373760,38282586154,29872902512
37737959424,34798276970,24005939048
36332363776,32212628143,22963872861
34380410880,28798826853,21642939459
48228761600,1.39226E+11,29871677882
35343343616,33214919585,21860879644
38438805504,29414862340,23718975103
52921561088,39921411959,35566842327
35464392704,32056470404,21700060750
40035880960,47185426069,25607920118
37475586048,34482502411,22758800066
60527595520,22326728210,46963308602
48007876608,38845410611,30047644874
43357024256,47197820221,29814988874
33716363264,29628816382,21630866330
34300672000,29504140119,21695243142
38146981888,37302833006,23952790379
34747682816,29839609280,22101644852
36711571456,37959022326,23132990776
34457104384,29589467765,21695243142
33633171456,29526378613,21630866330
35343343616,30702568147,21860879644
46656991232,71136022231,28471238664
36570095616,29919085577,22739728877
40491089920,52909824750,26642467597
1.80391E+11,2.30366E+11,1.28942E+11
34563538944,29814232343,21656371751
57360187392,71758782035,37906478463
44903677952,91953605145,34678884218
36179800064,34321195203,22512334729
35705450496,31062400585,22004795734
45344665600,41695179941,27641908205
33761132544,30174183777,21630866330
34776399872,30776454499,21656371751
51230552064,65944003528,37982757897
34220951552,30749432721,21642939459
43044495360,37656429761,24971217659
36161982464,31476201461,22963872861
52909395968,50759095736,35468860177
34462990336,30574753168,21630866330
35003543552,30701396972,21656371751
49307897856,24121230449,30794462059
35730333696,35206563969,22092879483
48851275776,62371486867,32935716121
48151130112,28991937864,29643778886
34426380288,30307500982,21726408340
34408361984,30320712882,21656371751
47162687488,40040454462,31530754345
36217122816,31739866508,22584970013
35326468096,29862598470,22035236334
45494964224,30916702579,29497558468
63331184640,54392860819,36064649397
41995186176,38621074120,26828005281
33923864576,29533638184,21630866330
60065603584,1.16997E+11,36739120490
67487621120,58258622245,44615040441
37788180480,36751042931,23685168736
35386728448,31166896759,21738253345
34153101312,29866321029,21652902740
36412313600,31961483522,23090308413
37266927616,30684981929,23266531036
40415645696,30349521711,24412549101
36681252864,33481177258,22838804255
36801720320,32494561697,23132990776
51474149376,57668877119,32355479341
33683789824,30196216425,21630866330
48764878848,42084013186,36247372719
34469552128,30370242783,21652902740
35542360064,31092931136,22403358501
33683789824,30079721567,21630866330
2.11461E+11,1.10376E+11,1.46343E+11
35293585408,32883873058,21738253345
56024829952,55210269729,37302109828
35283431424,30686546524,21700060750
44857180160,38430965213,27927063850
33671135232,29861153148,21630866330
74947805184,58175330330,45789976920
33714112512,29771336021,21642939459
1.01168E+11,83483737311,64959859075
38175830016,21542569722,23717865247
35695865856,30114663154,22250178504
48423149568,31910622620,28361737436
35112914944,31361358140,22101644852
33888229376,30398000824,21630866330
34928549888,29877904770,22250178504
76732006400,72307387854,47660115554
36516077568,52128950267,22163193216
38045229056,18708747495,23535343140
33687984128,30074115310,21630866330
33741780992,29886508859,21630866330
36216557568,32914812082,22716016929
45807202304,43729685327,29610846042
61148065792,45835891111,37423914289
37204561920,34426926833,22919908894
43586019328,47482609775,28341420020
35267862528,30862418207,21726408340
40071737344,33283685370,23653827558
36324990976,31133955947,22177266026
34904027136,29933099091,21656371751
62911426560,52130206219,36155417149
62596444160,80993665010,37030259631
53843185664,45960873550,34839402515
42980966400,31515347062,23097680164
34102112256,32984933913,21642939459
67585531904,1.0145E+11,49520009849
34261731328,29323492011,21695243142
33723596800,30775383746,21630866330
50183127040,66530955660,31659828803
50241576960,67449452298,31468332374
34557149184,30892503031,22080957111
42910203904,36685407444,29806450095
37853315072,38716600871,23361871262
34327746560,29782883802,21695243142
49887526912,35614600264,30961385365
56806993920,58147747273,35906548426
40004014080,33169484915,24619486799
36037083136,31950018639,22195105471
34117910528,30587791808,21642939459
47917301760,39588516755,29314960972
53404766208,51786277450,35618409594
34586288128,29525767788,21656371751
35871780864,33032970555,21738253345
34074554368,30195404999,21652902740
35006324736,30752774636,21656371751
49397940224,57738736656,32420735341
41713233920,41310183092,27718946971
67941511168,50063841442,46940264263
37558374400,32987589567,22963872861
35083419648,29962390565,22250178504
52899786752,42890193925,39459086501
33803747328,30108152788,21630866330
51003006976,73618352685,29214012921
33661669376,29688013325,21630866330
34010314752,29641927920,21642939459
42204991488,35328855634,27411898656
38428549120,40320702208,23597857232
51012354048,71840469835,32776651054
36883869696,35499518153,23633196238
35635109888,30437613773,22035236334
35343343616,30189256767,21860879644
1.52755E+11,3.90845E+11,1.45558E+11
34333007872,29618317423,21652902740
81627086848,1.01399E+11,58892353084
42168287232,40792867897,26148618500
34239023104,29896650598,21652902740
53596856320,73354268059,31123936452
34809212928,32396423830,21726408340
37427343360,30938712811,23132990776
34186618880,31344281601,21630866330
35922403328,28787252481,22195105471
53430775808,49826749974,37348459090
38124253184,34086690125,23970406929
43685429248,36638867023,28243837706
38139047936,53587431943,23633946493
34367205376,30326223183,21652902740
48927059968,69373635606,32135350689
40215429120,49015110097,25181990560
34584936448,30159201604,21656371751
34685222912,31025503666,21934736105
33773355008,29961721376,21630866330
